派生パターン	元の読み	元の表記	派生後の読み	派生後の表記	向き
-u:-asu	くらむ	くらむ	くらます	くらます	t
-u:-asu	ふくらむ	ふくらむ	ふくらます	ふくらます	t
-u:-asu	ふくらむ	脹らむ	ふくらます	脹らます	t
-u:-asu	ふくらむ	膨らむ	ふくらます	膨らます	t
-u:-asu	くらむ	暗む	くらます	暗ます	t
-u:-asu	くらむ	眩む	くらます	眩ます	t
-u:-asu	まいる	参る	まいらす	参らす	t
-u:-asu	いかる	怒る	いからす	怒らす	t
-u:-asu	とがる	とがる	とがらす	とがらす	t
-u:-asu	とがる	尖る	とがらす	尖らす	t
-u:-asu	きる	切る	きらす	切らす	t
-u:-asu	めぐる	めぐる	めぐらす	めぐらす	t
-u:-asu	めぐる	巡る	めぐらす	巡らす	t
-u:-asu	めぐる	廻る	めぐらす	廻らす	t
-u:-asu	こる	こる	こらす	こらす	t
-u:-asu	こる	凝る	こらす	凝らす	t
-u:-asu	しる	知る	しらす	知らす	t
-u:-asu	そる	そる	そらす	そらす	t
-u:-asu	そる	反る	そらす	反らす	t
-u:-asu	ちる	散る	ちらす	散らす	t
-u:-asu	てる	照る	てらす	照らす	t
-u:-asu	とる	取る	とらす	取らす	t
-u:-asu	おどる	踊る	おどらす	踊らす	t
-u:-asu	おどる	躍る	おどらす	躍らす	t
-u:-asu	なる	鳴る	ならす	鳴らす	t
-u:-asu	つのる	募る	つのらす	募らす	t
-u:-asu	へる	減る	へらす	減らす	t
-u:-asu	しめる	湿る	しめらす	湿らす	t
-u:-eru	したがう	従う	したがえる	従える	t
-u:-eru	たがう	違う	たがえる	違える	t
-u:-eru	おもいちがう	思い違う	おもいちがえる	思い違える	t
-u:-eru	よみちがう	読み違う	よみちがえる	読み違える	t
-u:-eru	そう	副う	そえる	副える	t
-u:-eru	そう	添う	そえる	添える	t
-u:-eru	かなう	かなう	かなえる	かなえる	t
-u:-eru	かなう	叶う	かなえる	叶える	t
-u:-eru	ととのう	整う	ととのえる	整える	t
-u:-eru	ととのう	調う	ととのえる	調える	t
-u:-eru	おもう	思う	おもえる	思える	t
-u:-eru	おもう	想う	おもえる	想える	t
-u:-eru	そろう	そろう	そろえる	そろえる	t
-u:-eru	そろう	揃う	そろえる	揃える	t
-u:-eru	あく	空く	あける	空ける	t
-u:-eru	あく	開く	あける	開ける	t
-u:-eru	かく	欠く	かける	欠ける	i
-u:-eru	さく	裂く	さける	裂ける	i
-u:-eru	くじく	くじく	くじける	くじける	i
-u:-eru	くじく	挫く	くじける	挫ける	i
-u:-eru	はじく	はじく	はじける	はじける	i
-u:-eru	はじく	弾く	はじける	弾ける	i
-u:-eru	うなずく	うなずく	うなずける	うなずける	i
-u:-eru	うなずく	肯く	うなずける	肯ける	i
-u:-eru	うなずく	頷く	うなずける	頷ける	i
-u:-eru	うなずく	首肯く	うなずける	首肯ける	i
-u:-eru	しりぞく	退く	しりぞける	退ける	t
-u:-eru	たく	炊く	たける	炊ける	i
-u:-eru	くだく	砕く	くだける	砕ける	i
-u:-eru	つく	つく	つける	つける	t
-u:-eru	つく	付く	つける	付ける	t
-u:-eru	つく	就く	つける	就ける	t
-u:-eru	つく	点く	つける	点ける	t
-u:-eru	つく	着く	つける	着ける	t
-u:-eru	つく	附く	つける	附ける	t
-u:-eru	つづく	続く	つづける	続ける	t
-u:-eru	とく	とく	とける	とける	i
-u:-eru	とく	溶く	とける	溶ける	i
-u:-eru	とく	解く	とける	解ける	i
-u:-eru	どく	どく	どける	どける	t
-u:-eru	どく	退く	どける	退ける	t
-u:-eru	とどく	届く	とどける	届ける	t
-u:-eru	ほどく	ほどく	ほどける	ほどける	i
-u:-eru	ほどく	解く	ほどける	解ける	i
-u:-eru	なく	泣く	なける	泣ける	i
-u:-eru	ぬく	抜く	ぬける	抜ける	i
-u:-eru	のく	のく	のける	のける	t
-u:-eru	のく	退く	のける	退ける	t
-u:-eru	さばく	さばく	さばける	さばける	i
-u:-eru	さばく	捌く	さばける	捌ける	i
-u:-eru	ひく	引く	ひける	引ける	i
-u:-eru	やぶく	破く	やぶける	破ける	i
-u:-eru	そむく	そむく	そむける	そむける	t
-u:-eru	そむく	背く	そむける	背ける	t
-u:-eru	かたむく	傾く	かたむける	傾ける	t
-u:-eru	うつむく	俯く	うつむける	俯ける	t
-u:-eru	むく	むく	むける	むける	i
-u:-eru	むく	剥く	むける	剥ける	i
-u:-eru	むく	向く	むける	向ける	t
-u:-eru	やく	妬く	やける	妬ける	i
-u:-eru	やく	灼く	やける	灼ける	i
-u:-eru	やく	焼く	やける	焼ける	i
-u:-eru	ひらく	拓く	ひらける	拓ける	i
-u:-eru	ひらく	開く	ひらける	開ける	i
-u:-eru	かしぐ	かしぐ	かしげる	かしげる	t
-u:-eru	かしぐ	傾ぐ	かしげる	傾げる	t
-u:-eru	そぐ	そぐ	そげる	そげる	i
-u:-eru	そぐ	削ぐ	そげる	削げる	i
-u:-eru	ぬぐ	脱ぐ	ぬげる	脱げる	i
-u:-eru	はぐ	はぐ	はげる	はげる	i
-u:-eru	はぐ	剥ぐ	はげる	剥げる	i
-u:-eru	もぐ	もぐ	もげる	もげる	i
-u:-eru	やわらぐ	和らぐ	やわらげる	和らげる	t
-u:-eru	うつぶす	うつ伏す	うつぶせる	うつ伏せる	t
-u:-eru	うつぶす	俯す	うつぶせる	俯せる	t
-u:-eru	たつ	勃つ	たてる	勃てる	t
-u:-eru	たつ	建つ	たてる	建てる	t
-u:-eru	たつ	立つ	たてる	立てる	t
-u:-eru	たつ	起つ	たてる	起てる	t
-u:-eru	そだつ	育つ	そだてる	育てる	t
-u:-eru	うかぶ	浮かぶ	うかべる	浮かべる	t
-u:-eru	ならぶ	並ぶ	ならべる	並べる	t
-u:-eru	ならぶ	列ぶ	ならべる	列べる	t
-u:-eru	かがむ	かがむ	かがめる	かがめる	t
-u:-eru	かがむ	屈む	かがめる	屈める	t
-u:-eru	ゆがむ	ゆがむ	ゆがめる	ゆがめる	t
-u:-eru	ゆがむ	歪む	ゆがめる	歪める	t
-u:-eru	すくむ	すくむ	すくめる	すくめる	t
-u:-eru	すくむ	竦む	すくめる	竦める	t
-u:-eru	ぬくむ	ぬくむ	ぬくめる	ぬくめる	t
-u:-eru	ぬくむ	温む	ぬくめる	温める	t
-u:-eru	ふくむ	含む	ふくめる	含める	t
-u:-eru	こむ	こむ	こめる	こめる	t
-u:-eru	こむ	込む	こめる	込める	t
-u:-eru	かなしむ	悲しむ	かなしめる	悲しめる	t
-u:-eru	いやしむ	いやしむ	いやしめる	いやしめる	t
-u:-eru	いやしむ	卑しむ	いやしめる	卑しめる	t
-u:-eru	いやしむ	賤しむ	いやしめる	賤しめる	t
-u:-eru	くるしむ	苦しむ	くるしめる	苦しめる	t
-u:-eru	すすむ	進む	すすめる	進める	t
-u:-eru	やすむ	休む	やすめる	休める	t
-u:-eru	しずむ	沈む	しずめる	沈める	t
-u:-eru	ひそむ	ひそむ	ひそめる	ひそめる	t
-u:-eru	ひそむ	潜む	ひそめる	潜める	t
-u:-eru	いたむ	いたむ	いためる	いためる	t
-u:-eru	いたむ	傷む	いためる	傷める	t
-u:-eru	いたむ	痛む	いためる	痛める	t
-u:-eru	ちぢむ	縮む	ちぢめる	縮める	t
-u:-eru	つむ	詰む	つめる	詰める	t
-u:-eru	くぼむ	くぼむ	くぼめる	くぼめる	t
-u:-eru	くぼむ	凹む	くぼめる	凹める	t
-u:-eru	くぼむ	窪む	くぼめる	窪める	t
-u:-eru	すぼむ	すぼむ	すぼめる	すぼめる	t
-u:-eru	すぼむ	窄む	すぼめる	窄める	t
-u:-eru	つぼむ	つぼむ	つぼめる	つぼめる	t
-u:-eru	つぼむ	窄む	つぼめる	窄める	t
-u:-eru	もむ	もむ	もめる	もめる	t
-u:-eru	もむ	揉む	もめる	揉める	t
-u:-eru	やむ	やむ	やめる	やめる	t
-u:-eru	やむ	止む	やめる	止める	t
-u:-eru	あからむ	赤らむ	あからめる	赤らめる	t
-u:-eru	からむ	からむ	からめる	からめる	t
-u:-eru	からむ	絡む	からめる	絡める	t
-u:-eru	ゆるむ	ゆるむ	ゆるめる	ゆるめる	t
-u:-eru	ゆるむ	弛む	ゆるめる	弛める	t
-u:-eru	ゆるむ	緩む	ゆるめる	緩める	t
-u:-eru	たわむ	たわむ	たわめる	たわめる	t
-u:-eru	いる	入る	いれる	入れる	t
-u:-eru	うる	売る	うれる	売れる	i
-u:-eru	おる	折る	おれる	折れる	i
-u:-eru	はばかる	はばかる	はばかれる	はばかれる	i
-u:-eru	はばかる	憚る	はばかれる	憚れる	i
-u:-eru	きる	切る	きれる	切れる	i
-u:-eru	ちぎる	ちぎる	ちぎれる	ちぎれる	i
-u:-eru	ひねくる	ひねくる	ひねくれる	ひねくれる	i
-u:-eru	ひねくる	捻くる	ひねくれる	捻くれる	i
-u:-eru	まくる	まくる	まくれる	まくれる	i
-u:-eru	まくる	捲る	まくれる	捲れる	i
-u:-eru	めくる	めくる	めくれる	めくれる	i
-u:-eru	めくる	捲る	めくれる	捲れる	i
-u:-eru	しゃくる	しゃくる	しゃくれる	しゃくれる	i
-u:-eru	えぐる	えぐる	えぐれる	えぐれる	i
-u:-eru	えぐる	抉る	えぐれる	抉れる	i
-u:-eru	しる	知る	しれる	知れる	i
-u:-eru	ねじる	ねじる	ねじれる	ねじれる	i
-u:-eru	ねじる	捩る	ねじれる	捩れる	i
-u:-eru	ねじる	捻る	ねじれる	捻れる	i
-u:-eru	よじる	よじる	よじれる	よじれる	i
-u:-eru	よじる	捩る	よじれる	捩れる	i
-u:-eru	こする	こする	こすれる	こすれる	i
-u:-eru	こする	擦る	こすれる	擦れる	i
-u:-eru	する	する	すれる	すれる	i
-u:-eru	する	擦る	すれる	擦れる	i
-u:-eru	けずる	削る	けずれる	削れる	i
-u:-eru	ひきつる	ひきつる	ひきつれる	ひきつれる	i
-u:-eru	ひきつる	引きつる	ひきつれる	引きつれる	i
-u:-eru	ひきつる	引き攣る	ひきつれる	引き攣れる	i
-u:-eru	つる	釣る	つれる	釣れる	i
-u:-eru	とる	取る	とれる	取れる	i
-u:-eru	とる	捕る	とれる	捕れる	i
-u:-eru	とる	採る	とれる	採れる	i
-u:-eru	とる	獲る	とれる	獲れる	i
-u:-eru	とる	穫る	とれる	穫れる	i
-u:-eru	ふる	振る	ふれる	振れる	i
-u:-eru	やぶる	破る	やぶれる	破れる	i
-u:-eru	うずもる	うずもる	うずもれる	うずもれる	i
-u:-eru	うずもる	埋もる	うずもれる	埋もれる	i
-u:-eru	よる	よる	よれる	よれる	i
-u:-eru	よる	縒る	よれる	縒れる	i
-u:-eru	わる	割る	われる	割れる	i
-u:-oeru	きく	聞く	きこえる	聞こえる	i
-u:-osu	およぶ	及ぶ	およぼす	及ぼす	t
-u:-osu	ほろぶ	亡ぶ	ほろぼす	亡ぼす	t
-u:-osu	ほろぶ	滅ぶ	ほろぼす	滅ぼす	t
-u:-su	うるおう	潤う	うるおす	潤す	t
-u:-su	にぎわう	賑わう	にぎわす	賑わす	t
-u:-seru	にぎわう	賑わう	にぎわせる	賑わせる	t
